id,carrier,player,approver,amountOfCarries,carryDifficulty,carryType,attachmentLink,time
132,990991977833197578,974714890461798440,884589309037011015,9,F6,S,https://cdn.discordapp.com/attachments/796770232340578365/1067219865762537581/transcript-closed-f6-16-xidion.html,2023-01-24 00:10:04
133,1025423349100318720,674735676494839838,,1,F6,Completion,https://cdn.discordapp.com/attachments/796770232340578365/1067278024715808888/transcript-closed-f6-28-3leon.html,2023-01-24 04:01:35
134,1025423349100318720,722548870436880496,,3,F5,S+,https://cdn.discordapp.com/attachments/796770232340578365/1067291950451003402/transcript-closed-f5-36-jdogshuffle.html,2023-01-24 04:56:40
135,726660898793717800,1045091362653089933,,1,EMAN,Tier 4,https://cdn.discordapp.com/attachments/796770232340578365/1067294814439231529/transcript-t4-eman-26-soaringmoose.html,2023-01-24 05:08:14
136,1025423349100318720,455060742056574977,,1,F7,Completion,https://cdn.discordapp.com/attachments/796770232340578365/1067302208087007312/transcript-closed-f7-0-savageplayz__.html,2023-01-24 03:29:55
137,990991977833197578,455060742056574977,,1,F7,S,https://cdn.discordapp.com/attachments/796770232340578365/1067302208087007312/transcript-closed-f7-0-savageplayz__.html,2023-01-24 03:29:50
138,1025423349100318720,613491592090746889,,1,F7,Completion,https://cdn.discordapp.com/attachments/796770232340578365/1067302212356800582/transcript-closed-f7-24-abioticscroll.html,2023-01-24 03:27:33
139,990991977833197578,613491592090746889,,1,F7,S,https://cdn.discordapp.com/attachments/796770232340578365/1067302212356800582/transcript-closed-f7-24-abioticscroll.html,2023-01-24 03:27:37
140,1025423349100318720,605201119001706526,,1,F5,Completion,https://cdn.discordapp.com/attachments/796770232340578365/1067309976667820062/transcript-closed-f5-10-monster_meat.html,2023-01-24 06:08:34
141,1025423349100318720,289676318197415936,884589309037011015,7,F5,S,https://cdn.discordapp.com/attachments/796770232340578365/1067302039501148180/transcript-closed-f5-16-goo.html,2023-01-24 05:36:51
142,1025423349100318720,221550697408233473,884589309037011015,6,F5,S+,https://cdn.discordapp.com/attachments/796770232340578365/1067302061642883143/transcript-closed-f5-17-doni_the_dingo.html,2023-01-24 05:37:00
143,726716297114550273,1028865057590890566,,1,EMAN,Tier 4,https://cdn.discordapp.com/attachments/796770232340578365/1067333434374103150/transcript-t4-eman-22-owunder.html,2023-01-24 07:35:25
144,726660898793717800,567526409497739317,,1,EMAN,Tier 4,https://cdn.discordapp.com/attachments/796770232340578365/1067352568210133002/transcript-closed-t3-eman-24-extendobandz69.html,2023-01-24 08:57:45
145,726660898793717800,567526409497739317,,2,EMAN,Tier 4,https://cdn.discordapp.com/attachments/796770232340578365/1067356930424700938/transcript-t4-eman-24-extendobandz69.html,2023-01-24 09:15:09
146,990991977833197578,532604641905606666,,4,F6,S,https://cdn.discordapp.com/attachments/796770232340578365/1067406771284606986/transcript-closed-f6-17-kattesen.html,2023-01-24 12:30:52
147,256122701884817419,704059118583021639,,1,F7,Completion,https://cdn.discordapp.com/attachments/796770232340578365/1067475267351748659/transcript-closed-f7-24-polar0.html,2023-01-24 16:50:53
148,256122701884817419,534056699594801153,,1,F7,Completion,https://cdn.discordapp.com/attachments/796770232340578365/1067475500911579267/transcript-closed-f7-24-fantacx.html,2023-01-24 17:06:15
