id,carry_type,score
720354256472768612,1,144
720354256472768612,2,70
721229315089367132,3,66
721326063464218635,1,556
724337780922122333,1,8
726660898793717800,3,602
726716297114550273,3,1558
727238663951351868,1,15
729031219748274227,3,4
729124925998104606,1,15
729124925998104606,2,5
732693233624285224,1,61
732881183108759613,1,30
732881183108759613,4,3
733718586430062693,1,4
735587217640259634,1,33
735848187193196665,3,94
737784120976867370,1,74
740227876128948294,1,11
741775079305904228,1,580
741775079305904228,2,15
742290355176603668,1,22
742290355176603668,2,150
742290355176603668,3,212
742996014344044566,3,6
743158843714043956,1,11
743904072029175899,1,6
743973275901886486,1,66
747386749940137992,3,655
747500781845872775,1,644
747500781845872775,2,5
747500781845872775,3,910
748966690846671049,1,5
748966690846671049,3,15
749676383139135528,1,57
750246315811799082,1,20
750246315811799082,2,50
750595298803318785,3,59
751286240384647252,1,53
752944456931606633,3,2
759714815253020673,1,189
762202647239196673,1,169
762202647239196673,3,22
765804971550965781,1,2
766721780718108702,1,6
767014335146754058,1,10
769429008701849611,3,27
772072998370148372,1,10
772307395267133440,1,6
772654415805939753,1,120
772819880646672405,1,33
773176718617346079,1,26
773757935200239647,1,26
774905030427148318,3,26
774992430750498836,3,3
775874076983689246,1,6
776902205399367741,1,10
778520797714448394,1,148
779442107642544159,3,10
782057419223597056,1,253
783614706698158090,1,168
785447764376944640,1,116
785447764376944640,2,10
785447764376944640,3,191
785447764376944640,4,0
787468378734329886,1,140
787755177238200350,1,17
791187748652187658,1,9
792086215927136266,1,51
792121289341927477,1,21
793051642413056012,1,17
793998180106502157,1,656
795048346955677748,1,24
795048346955677748,3,333
797316136516976650,3,229
797894861143277588,1,6
799383106611314688,3,6
802189555260194837,1,9
807701579879940117,2,5
809925441808760872,1,10
812499432342814771,1,17
828299932351856682,3,317
829834616068243486,1,27
829834616068243486,3,57
831709934886453248,1,69
834371688963506217,1,11
834371688963506217,3,5818
836584789011595274,1,6
843580582411763802,1,65
845727545411371040,1,145
847586539315265566,1,2
852299622348357702,1,3
854067656155594782,1,24
856629488451321908,1,31
863831044813225984,3,45
865795982763622421,3,2
867724558614265876,1,79
868130222288015410,1,428
871746718981570600,1,4
873810635736121355,1,22
881327897472819261,1,2
884589309037011015,1,216
884589309037011015,3,0
884924921820614677,1,6
887113140226121788,1,254
899952552295166002,1,33
901406923851718668,1,46
906968550156169297,1,2
910101008833720370,1,23
913344405799309322,3,61
916404858746187887,1,18
916712690381123604,1,2
925801540030201898,1,2
925801540030201898,3,1461
927647215676162158,1,16
933443490933776455,1,8
933443490933776455,3,1519
936529121461272577,1,57
947829191968174081,1,56
948715918022803506,1,28
953321807459549184,1,62
953321807459549184,2,155
953402783774683208,1,92
955181790157488208,1,17
956203203534393394,1,6
963188382119379024,3,96
966136667402567781,1,23
966679101752614942,1,54
968243197350391828,1,6
972122387501969478,3,29
974714890461798440,1,45
974714890461798440,3,8
980096318359883788,1,115
980863549259784253,1,441
980863549259784253,2,205
990165657133920266,3,12
990991977833197578,1,468
990991977833197578,3,2158
992163446072295564,1,10
997049831115739166,1,77
